NR_TURNO;SG_UF;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;DS_NACIONALIDADE;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_REELEICAO
1;DF;8;DEPUTADO DISTRITAL;22123;AGACIEL MAIA;22;PL;BRASILEIRA NATA;PB;64;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;S
1;DF;6;DEPUTADO FEDERAL;2700;PROF. LUCINEIDE;27;DC;BRASILEIRA NATA;DF;58;FEMININO;LÊ E ESCREVE;CASADO(A);PRETA;N
1;DF;6;DEPUTADO FEDERAL;9000;RIVÂNIA DA AIDÊ;90;PROS;BRASILEIRA NATA;DF;56;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;50420;JUAN RICTHELLY;50;PSOL;BRASILEIRA NATA;DF;31;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;27007;MAGAIVER;27;DC;BRASILEIRA NATA;GO;48;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;40404;PROFESSOR RICARDO ROCHA;40;PSB;BRASILEIRA NATA;DF;41;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;3000;PAULO ROQUE;30;NOVO;BRASILEIRA NATA;MG;55;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;55550;JAQUELINE BERNARDO;55;PSD;BRASILEIRA NATA;DF;49;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1361;RUTH VENCEREMOS;13;PT;BRASILEIRA NATA;PE;38;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;90199;PASTOR ROBERTO;90;PROS;BRASILEIRA NATA;AL;60;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;10444;ALEX RIBEIRO;10;REPUBLICANOS;BRASILEIRA NATA;DF;41;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1099;FABIANO INTÉRPRETE BOLSONARO;10;REPUBLICANOS;BRASILEIRA NATA;RJ;43;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;20322;ELIS MONTEIRO;20;PSC;BRASILEIRA NATA;DF;49;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;23333;PROFESSORA DEUSINHA;23;CIDADANIA;BRASILEIRA NATA;PI;55;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;9;1º SUPLENTE;456;PC JUNIOR;45;PSDB;BRASILEIRA NATA;DF;43;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;3688;ALEX DA SAÚDE;36;AGIR;BRASILEIRA NATA;DF;46;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;45555;KARLA VINHAS;45;PSDB;BRASILEIRA NATA;DF;37;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;27555;RONO PINHEIRO;27;DC;BRASILEIRA NATA;PA;47;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;55192;JORGE VIANNA;55;PSD;BRASILEIRA NATA;MA;46;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;S
1;DF;8;DEPUTADO DISTRITAL;23005;ROSINHA VIVEIROS;23;CIDADANIA;BRASILEIRA NATA;DF;57;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SOLTEIRO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;13613;CRIS DO COLETIVAÇÃO;13;PT;BRASILEIRA NATA;DF;45;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;1015;GILVAN MAXIMO;10;REPUBLICANOS;BRASILEIRA NATA;GO;53;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;33456;RENATA D AGUIAR;33;PMN;BRASILEIRA NATA;RJ;34;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;35123;WELBER DA LIZIRENE CELULAR;35;PMB;BRASILEIRA NATA;BA;39;MASCULINO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PARDA;N
1;DF;3;GOVERNADOR;55;PAULO OCTÁVIO PO;55;PSD;BRASILEIRA NATA;MG;72;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36333;WASHINGTON LUIZ LÍDER COMUNITÁ;36;AGIR;BRASILEIRA NATA;PR;60;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;36789;PAULO ROGÉRIO;36;AGIR;BRASILEIRA NATA;GO;45;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
